### SECTION A: package-level imports (moon.pkg)
# columns: module_name	package_rel_path	scope	imported_symbol
antisatori/valtio	src	normal	dowdiness/text_change
dowdiness/alga	src	normal	moonbitlang/core/bench
dowdiness/alga	src	normal	moonbitlang/core/debug
dowdiness/alga	src	normal	moonbitlang/core/hashmap
dowdiness/alga	src	normal	moonbitlang/core/hashset
dowdiness/alga	src	normal	moonbitlang/core/quickcheck
dowdiness/alga	src	normal	moonbitlang/core/quickcheck/splitmix
dowdiness/alga	src	normal	moonbitlang/quickcheck
dowdiness/alga	src/experiment	normal	dowdiness/alga
dowdiness/alga	src/experiment	normal	moonbitlang/core/bench
dowdiness/alga	src/experiment	normal	moonbitlang/core/hashmap
dowdiness/alga	src/experiment	normal	moonbitlang/core/hashset
dowdiness/btree	.	normal	dowdiness/rle
dowdiness/btree	.	normal	moonbitlang/core/bench
dowdiness/btree	.	normal	moonbitlang/core/debug
dowdiness/btree	.	wbtest	moonbitlang/core/quickcheck
dowdiness/btree	.	wbtest	moonbitlang/quickcheck
dowdiness/canopy	.	normal	dowdiness/canopy/core
dowdiness/canopy	.	normal	dowdiness/canopy/editor
dowdiness/canopy	.	normal	dowdiness/canopy/projection
dowdiness/canopy	.	normal	dowdiness/canopy/protocol
dowdiness/canopy	.	normal	dowdiness/canopy/relay
dowdiness/canopy	cmd/main	normal	dowdiness/canopy/editor
dowdiness/canopy	cmd/main	normal	dowdiness/event-graph-walker/text
dowdiness/canopy	cmd/main	normal	dowdiness/lambda
dowdiness/canopy	cmd/main	normal	dowdiness/pretty
dowdiness/canopy	cmd/main	normal	moonbitlang/core/debug
dowdiness/canopy	core	normal	dowdiness/incr
dowdiness/canopy	core	normal	dowdiness/loom/core
dowdiness/canopy	core	normal	dowdiness/seam
dowdiness/canopy	core	normal	moonbitlang/core/cmp
dowdiness/canopy	core	normal	moonbitlang/core/debug
dowdiness/canopy	core	wbtest	moonbitlang/core/quickcheck
dowdiness/canopy	core	wbtest	moonbitlang/core/quickcheck/splitmix
dowdiness/canopy	core	wbtest	moonbitlang/quickcheck
dowdiness/canopy	echo	normal	dowdiness/canopy/echo/tokenizer
dowdiness/canopy	echo	normal	moonbitlang/core/math
dowdiness/canopy	echo/cmd	normal	dowdiness/canopy/echo
dowdiness/canopy	echo/cmd	normal	dowdiness/canopy/echo/tokenizer
dowdiness/canopy	echo/cmd	normal	moonbitlang/core/argparse
dowdiness/canopy	echo/cmd	normal	moonbitlang/core/debug
dowdiness/canopy	echo/cmd	normal	moonbitlang/core/json
dowdiness/canopy	echo/cmd	normal	moonbitlang/x/fs
dowdiness/canopy	echo/cmd	normal	moonbitlang/x/sys
dowdiness/canopy	editor	normal	dowdiness/canopy/core
dowdiness/canopy	editor	normal	dowdiness/canopy/protocol
dowdiness/canopy	editor	normal	dowdiness/event-graph-walker/text
dowdiness/canopy	editor	normal	dowdiness/event-graph-walker/undo
dowdiness/canopy	editor	normal	dowdiness/incr
dowdiness/canopy	editor	normal	dowdiness/loom
dowdiness/canopy	editor	normal	dowdiness/loom/core
dowdiness/canopy	editor	normal	dowdiness/pretty
dowdiness/canopy	editor	normal	dowdiness/seam
dowdiness/canopy	editor	normal	dowdiness/text_change
dowdiness/canopy	editor	normal	moonbitlang/core/bench
dowdiness/canopy	editor	normal	moonbitlang/core/buffer
dowdiness/canopy	editor	normal	moonbitlang/core/builtin
dowdiness/canopy	editor	normal	moonbitlang/core/debug
dowdiness/canopy	editor	normal	moonbitlang/core/int
dowdiness/canopy	editor	normal	moonbitlang/core/json
dowdiness/canopy	editor	normal	moonbitlang/core/quickcheck
dowdiness/canopy	editor	normal	moonbitlang/core/strconv
dowdiness/canopy	editor	normal	moonbitlang/core/string
dowdiness/canopy	editor	test	dowdiness/canopy/lang/lambda
dowdiness/canopy	editor	test	dowdiness/lambda
dowdiness/canopy	editor	test	dowdiness/lambda/ast
dowdiness/canopy	editor	test	moonbitlang/quickcheck
dowdiness/canopy	editor	wbtest	dowdiness/canopy/lang/lambda
dowdiness/canopy	ffi/json	normal	dowdiness/canopy/core
dowdiness/canopy	ffi/json	normal	dowdiness/canopy/editor
dowdiness/canopy	ffi/json	normal	dowdiness/canopy/lang/json/companion
dowdiness/canopy	ffi/json	normal	dowdiness/canopy/lang/json/edits
dowdiness/canopy	ffi/json	normal	dowdiness/json
dowdiness/canopy	ffi/json	normal	moonbitlang/core/json
dowdiness/canopy	ffi/lambda	normal	dowdiness/canopy/editor
dowdiness/canopy	ffi/lambda	normal	dowdiness/canopy/lang/lambda
dowdiness/canopy	ffi/lambda	normal	dowdiness/canopy/llm
dowdiness/canopy	ffi/lambda	normal	dowdiness/canopy/relay
dowdiness/canopy	ffi/lambda	normal	dowdiness/event-graph-walker/text
dowdiness/canopy	ffi/lambda	normal	dowdiness/incr/cells
dowdiness/canopy	ffi/lambda	normal	dowdiness/lambda/ast
dowdiness/canopy	ffi/lambda	normal	dowdiness/lambda/typecheck
dowdiness/canopy	ffi/lambda	normal	dowdiness/seam
dowdiness/canopy	ffi/lambda	normal	moonbitlang/async/js_async
dowdiness/canopy	ffi/lambda	normal	moonbitlang/core/buffer
dowdiness/canopy	ffi/lambda	normal	moonbitlang/core/json
dowdiness/canopy	ffi/lambda	normal	moonbitlang/core/string
dowdiness/canopy	ffi/markdown	normal	dowdiness/canopy/core
dowdiness/canopy	ffi/markdown	normal	dowdiness/canopy/editor
dowdiness/canopy	ffi/markdown	normal	dowdiness/canopy/lang/markdown/companion
dowdiness/canopy	ffi/markdown	normal	dowdiness/canopy/lang/markdown/edits
dowdiness/canopy	ffi/markdown	normal	dowdiness/markdown
dowdiness/canopy	lang/json	normal	dowdiness/canopy/lang/json/companion
dowdiness/canopy	lang/json	normal	dowdiness/canopy/lang/json/edits
dowdiness/canopy	lang/json	normal	dowdiness/canopy/lang/json/proj
dowdiness/canopy	lang/json/companion	normal	dowdiness/canopy/editor
dowdiness/canopy	lang/json/companion	normal	dowdiness/canopy/lang/json/edits
dowdiness/canopy	lang/json/companion	normal	dowdiness/canopy/lang/json/proj
dowdiness/canopy	lang/json/companion	normal	dowdiness/json
dowdiness/canopy	lang/json/companion	normal	dowdiness/loom
dowdiness/canopy	lang/json/companion	normal	moonbitlang/core/bench
dowdiness/canopy	lang/json/edits	normal	dowdiness/canopy/core
dowdiness/canopy	lang/json/edits	normal	dowdiness/canopy/lang/json/proj
dowdiness/canopy	lang/json/edits	normal	dowdiness/json
dowdiness/canopy	lang/json/edits	normal	moonbitlang/core/debug
dowdiness/canopy	lang/json/proj	normal	dowdiness/canopy/core
dowdiness/canopy	lang/json/proj	normal	dowdiness/incr
dowdiness/canopy	lang/json/proj	normal	dowdiness/json
dowdiness/canopy	lang/json/proj	normal	dowdiness/loom
dowdiness/canopy	lang/json/proj	normal	dowdiness/loom/core
dowdiness/canopy	lang/json/proj	normal	dowdiness/seam
dowdiness/canopy	lang/json/proj	normal	moonbitlang/core/strconv
dowdiness/canopy	lang/json/proj	normal	moonbitlang/core/string
dowdiness/canopy	lang/lambda	normal	dowdiness/canopy/core
dowdiness/canopy	lang/lambda	normal	dowdiness/canopy/lang/lambda/companion
